source_row,label,map_hash,lotName,split
19,Loc,e27109df5b7fd57882fe3499af8fd5c2eb4d2cd90745509d3c68d28369045656,lot1,train
36,Edge-Loc,def37507635ffe9157b52a0ea21b933638dc3a897f6abab47beb689fde0838e7,lot2,train
37,Edge-Loc,ea51a9051d5fcb0b31888c7261923a3c0deb7cd60d8e5da380c8ddc2ea990d74,lot2,train
38,Edge-Loc,50bad5d74aed062ab0ee665bc0ed36ff6fff0708765fae39efa1a2d60dd40958,lot2,train
39,Edge-Loc,f3f22d8dbb9c78a5c46bc9455a229ba3c4d4fc5ae0d69eb5a6aac467b314f8fc,lot2,train
40,Loc,7f3c4167b00db82bf337efc0a646a2d738e8c26480a44a91d44642f029bf0199,lot2,train
41,Edge-Loc,0b49721a18cb6cd39de885b7e49fef5ec4b24dcbd05973015d7f26601b4f490b,lot2,train
42,Edge-Loc,628270b6ec2b382b51b6ad66791c7978f5d7f47ccca2b65e895bff1ea58b39cf,lot2,train
43,Edge-Loc,22befd5a0b187a52523c8f731a063eb953c3cfcd663905bbe378daff59d1e6f9,lot2,train
44,Center,6c010dd62b0b00fab99b933071593438235b78b648b6aa4275c4b502a66d6ec5,lot2,train
47,Loc,4b991713a724862bdc4f919e1396ab4a59a08c476a3e75d8d9dc376f54ebfade,lot2,train
48,Edge-Loc,887ba93dd671ea206e911583d5b94ceeb4f5831ffdcfe9f290f0f0cf82928628,lot2,train
49,Center,dcb865f71cd8992bd3e766e2f05b6fec92e43c9c447fcaa31b2e8ddb223b7b62,lot2,train
73,Loc,f6e572c4f4f077e73e780bb70d96f89b59c8e45efd8d39506aa00f2344411e3e,lot3,valid
100,Edge-Ring,cb10b4e6af5b75df5495cabbd463dd8a96192df01b28055f071bf9dadafb35b3,lot5,valid
134,Scratch,2b68a1785fceb91152098d61b42e235767158d5bd0a445efc60b95089271aa30,lot6,valid
186,Edge-Ring,8006b35b9c99cde4498a4e03b3e7443dd77f28b53beeaa36e540446778694e81,lot8,train
264,Edge-Loc,d665b7c141ba124ae8e5da2c523894c836a268a25181d9c9feebc0d4408aa230,lot11,train
377,Edge-Loc,f4484ce5b7bf141c85fa1a9cb1d922381f9c263f63052c46b0f93146d38c0f53,lot16,train
381,Edge-Loc,544e2cc4c914fde1a2d6354b1daf02a6b00196ed87384632b918e70d1e6a7d57,lot16,train
397,Edge-Loc,d434b7259ce22255498f4569bcfb20b87a9a4f16486ddc38152eade5fbcbd04b,lot16,train
446,Edge-Loc,eefd2fbcde740d06c088b6d42542548ff060da25bd724a440039b74eecf78374,lot18,train
477,Edge-Loc,674f89e40dfc6a2a73356442ad6ac8441e5fc0a18a388a072aa15579495d12ed,lot20,valid
486,Edge-Loc,7182f9eebb488df5b8e4cdadeea85878b61d2c382e9b987f638b2fdff10e2dbc,lot20,valid
599,Scratch,6a5790a5b01961bb030ca9c31e415e9f437c63041a7a311a56e8cab96fd4c510,lot24,train
602,Random,120ff72d6efde09f54e374e5d17159aff4b94232786c6588a595bfa7084f62b2,lot25,train
